country,sex,age,suicide_prob
iceland,male,25-34,0.0082302777664667
iceland,male,35-54,0.0074843361736293
iceland,male,5-14,0.0002290185679479
iceland,male,55-74,0.0079111977920694
iceland,male,75+,0.0057541710169824
ireland,female,15-24,0.0012572166057884
ireland,female,25-34,0.0015384926817115
ireland,female,35-54,0.0019253523956726
ireland,female,5-14,6.324267473796457e-05
ireland,female,55-74,0.0017680093401349
ireland,female,75+,0.0007839489610262
ireland,male,15-24,0.0066762364759228
ireland,male,25-34,0.0077618650472804
ireland,male,35-54,0.0068489285910253
ireland,male,5-14,0.0002179963616191
ireland,male,55-74,0.0061624999580072
ireland,male,75+,0.0038137450665567
israel,female,15-24,0.0006648700182319
israel,female,25-34,0.0008791880796969
israel,female,35-54,0.0011010856529033
israel,female,5-14,3.929950788725607e-05
israel,female,55-74,0.0018512865659249
israel,female,75+,0.0035334294169403
israel,male,15-24,0.0028401992628162
israel,male,25-34,0.0033505525962924
israel,male,35-54,0.0038630611191063
israel,male,5-14,0.0001157742146807
israel,male,55-74,0.0052348265295005
israel,male,75+,0.0098255542355869
italy,female,15-24,0.0004689258542171
italy,female,25-34,0.0007751663500195
italy,female,35-54,0.0012008169668515
italy,female,5-14,4.33707470084556e-05
italy,female,55-74,0.0018008001557302
italy,female,75+,0.0022234026352767
italy,male,15-24,0.0018392908385761
italy,male,25-34,0.0030403866464124
italy,male,35-54,0.0036323040293127
italy,male,5-14,8.867117790112134e-05
italy,male,55-74,0.0053918055558912
italy,male,75+,0.0111844204692786
jamaica,female,15-24,2.0044286625715644e-05
jamaica,female,25-34,2.070053018309719e-05
jamaica,female,35-54,2.8979147299839896e-05
jamaica,female,5-14,1.92086014229714e-05
jamaica,female,55-74,1.2223233396593744e-05
jamaica,female,75+,4.953057264760937e-05
jamaica,male,15-24,0.0001119448112665
jamaica,male,25-34,0.0001725696072066
jamaica,male,35-54,0.0001592413474583
jamaica,male,5-14,2.2118736258118102e-05
jamaica,male,55-74,0.0002253804719763
jamaica,male,75+,0.0002224566860369
japan,female,15-24,0.0022194138294238
japan,female,25-34,0.003441249340578
japan,female,35-54,0.0039711612144961
japan,female,5-14,0.0001137980051754
japan,female,55-74,0.0057835569674572
japan,female,75+,0.0099382785657597
japan,male,15-24,0.0046898708177371
japan,male,25-34,0.0080267252179004
japan,male,35-54,0.0120333116396823
japan,male,5-14,0.0002085742104373
japan,male,55-74,0.0135858696764906
japan,male,75+,0.0162390043070443
kazakhstan,female,15-24,0.0030253481649147
kazakhstan,female,25-34,0.0025882561991967
kazakhstan,female,35-54,0.0025444182547527
kazakhstan,female,5-14,0.0003388980577837
kazakhstan,female,55-74,0.003119215556643
kazakhstan,female,75+,0.005557422950852
kazakhstan,male,15-24,0.01001846149616
kazakhstan,male,25-34,0.016380166240607
kazakhstan,male,35-54,0.0173043131127901
kazakhstan,male,5-14,0.0010158738612867
kazakhstan,male,55-74,0.016242105115408
kazakhstan,male,75+,0.017060986749817
kiribati,female,15-24,0.0006007537900645
kiribati,female,25-34,0.0003145160643276
kiribati,female,35-54,0.0001369112814895
kiribati,female,5-14,0.0002101743998106
kiribati,female,55-74,0.0003572704537334
kiribati,female,75+,0.0
kiribati,male,15-24,0.0028118358174538
kiribati,male,25-34,0.0011772479624216
kiribati,male,35-54,0.0015312807780712
kiribati,male,5-14,0.0003827563379696
kiribati,male,55-74,0.001262222053213
kiribati,male,75+,0.0
kuwait,female,15-24,0.0002877279318177
kuwait,female,25-34,0.0007096467733399
kuwait,female,35-54,0.0004091844663162
kuwait,female,5-14,1.301862965904209e-05
kuwait,female,55-74,0.0001259022699995
kuwait,female,75+,0.0
kuwait,male,15-24,0.0003933131247161
kuwait,male,25-34,0.0007191399644528
kuwait,male,35-54,0.0005732052110262
kuwait,male,5-14,1.778063570032868e-05
kuwait,male,55-74,0.0003099961470947
kuwait,male,75+,0.0
kyrgyzstan,female,15-24,0.0015094822260714
kyrgyzstan,female,25-34,0.0011481028732881
